,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_1,2,0.2180699348449707,0.011131800437427897,0.012780570983886718,0.0027867451384796923,10,0.001,4,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 4, 'kernel': 'rbf'}",-5.213163571139757e-07,-4.018931068667005e-07,-4.674468659639025e-07,-4.80267816614694e-07,-4.95354603732395e-07,-4.732557500583336e-07,3.993424680490196e-08,8
Output_1,3,0.24687819480895995,0.03685493893256518,0.014968109130859376,0.0021192922617652462,10,0.001,5,rbf,"{'C': 10, 'epsilon': 0.001, 'gamma': 5, 'kernel': 'rbf'}",-4.6967600806257464e-07,-3.875120614922693e-07,-4.475638092439507e-07,-4.314912597251993e-07,-4.952319300669618e-07,-4.4629501371819117e-07,3.638045938419384e-08,6
Output_1,4,0.1013333797454834,0.008385314642070622,0.005026912689208985,0.001571921089121072,10,0.0025,1,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 1, 'kernel': 'rbf'}",-1.8480654008251672e-06,-1.6479183761265652e-06,-2.02050214851279e-06,-1.7231649246701804e-06,-1.7036294987117363e-06,-1.788656069769288e-06,1.331223340610548e-07,25
Output_1,5,0.08407082557678222,0.005581500844834006,0.0062143802642822266,0.0014239197413693802,10,0.0025,2,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 2, 'kernel': 'rbf'}",-1.8075475655212513e-06,-1.7875636941266313e-06,-2.20840773909314e-06,-1.6039969021067001e-06,-1.822103406925539e-06,-1.8459238615546525e-06,1.9767107956465248e-07,28
Output_1,6,0.09534015655517578,0.00729980261024544,0.006854486465454101,0.0011402728750060035,10,0.0025,4,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 4, 'kernel': 'rbf'}",-2.3183049547245743e-06,-2.1623599947496074e-06,-2.471079270839945e-06,-2.236544669451612e-06,-2.1171298770868695e-06,-2.261083753370522e-06,1.252546597093783e-07,36
Output_1,7,0.09757413864135742,0.013337973261816226,0.0071337223052978516,0.0008888056987410805,10,0.0025,5,rbf,"{'C': 10, 'epsilon': 0.0025, 'gamma': 5, 'kernel': 'rbf'}",-2.468050340128097e-06,-1.9128666273247136e-06,-2.5106601178829184e-06,-1.9895182808918283e-06,-2.116151045561558e-06,-2.199449282357823e-06,2.458202400858182e-07,31
Output_1,8,0.051760530471801756,0.008382473050229327,0.00264887809753418,0.000534234983929997,10,0.005,1,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 1, 'kernel': 'rbf'}",-7.708396230317813e-06,-7.115807338385885e-06,-8.149179421935786e-06,-6.913090333122839e-06,-7.535165200313282e-06,-7.484327704815121e-06,4.3747876659760683e-07,55
Output_1,9,0.047910547256469725,0.004031304244642034,0.0028351783752441407,0.0009808901801934425,10,0.005,2,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 2, 'kernel': 'rbf'}",-6.796969911473733e-06,-6.535374074116658e-06,-7.948243079833034e-06,-6.354969697505537e-06,-6.913723148344769e-06,-6.909855982254747e-06,5.548227596075214e-07,41
Output_1,10,0.03493356704711914,0.007665830199992066,0.004048395156860352,0.0016141833515755067,10,0.005,4,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 4, 'kernel': 'rbf'}",-7.092794746203644e-06,-7.100603995519113e-06,-7.233574165694703e-06,-7.076456106758029e-06,-6.472841279736787e-06,-6.995254058782456e-06,2.6717715191884454e-07,46
Output_1,11,0.04131484031677246,0.0065951452037277805,0.0045452117919921875,0.0010811197769018705,10,0.005,5,rbf,"{'C': 10, 'epsilon': 0.005, 'gamma': 5, 'kernel': 'rbf'}",-8.084156919827666e-06,-8.01087872106878e-06,-8.39718551703139e-06,-8.521853540419957e-06,-7.646984966142523e-06,-8.132211932898063e-06,3.0806097592570665e-07,56
