,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_1,2,0.09876389503479004,0.012746454043139725,0.05494427680969238,0.007025471584652452,0.1,0.01,1,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 1, 'kernel': 'rbf'}",-0.009380503017571349,-0.010396489651033769,-0.011274333390629323,-0.010564775832759247,-0.009179205191017755,-0.010159061416602288,0.0007785986557336687,8
Output_1,3,0.07019205093383789,0.00945113229375658,0.0546879768371582,0.012690773073226665,0.1,0.1,0.01,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04539817496039867,-0.04814196182250153,-0.049522408420203716,-0.04702225448354704,-0.04194773818861901,-0.04640650757505399,0.002607571394240037,18
Output_1,4,0.07633042335510254,0.006535451178280971,0.04537730216979981,0.002123476893858349,0.1,0.1,0.1,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.039016340976587634,-0.04148842557694423,-0.043784797984608194,-0.04128915814995631,-0.03703709610553717,-0.04052316375872671,0.0023056416975728512,16
Output_1,5,0.05624237060546875,0.007645513924870513,0.02187047004699707,0.007653098337764401,0.1,0.1,1,rbf,"{'C': 0.1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",-0.01573821459416778,-0.01735059665697666,-0.01827751901629302,-0.0174291748351051,-0.014946158209814051,-0.016748332662471326,0.0012192497822474705,10
Output_1,6,0.0,0.0,0.0,0.0,0.1,1,0.01,rbf,"{'C': 0.1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
Output_1,7,0.003124570846557617,0.006249141693115233,0.0,0.0,0.1,1,0.1,rbf,"{'C': 0.1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
Output_1,8,0.0,0.0,0.0,0.0,0.1,1,1,rbf,"{'C': 0.1, 'epsilon': 1, 'gamma': 1, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
Output_1,9,0.0,0.0,0.0,0.0,0.1,10,0.01,rbf,"{'C': 0.1, 'epsilon': 10, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349877,-0.04976907132173697,-0.05063734644974418,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299996,28
Output_1,10,0.003123950958251953,0.006247901916503906,0.0,0.0,0.1,10,0.1,rbf,"{'C': 0.1, 'epsilon': 10, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04735675437349877,-0.04976907132173697,-0.05063734644974418,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299996,28
Output_1,11,0.0,0.0,0.0,0.0,0.1,10,1,rbf,"{'C': 0.1, 'epsilon': 10, 'gamma': 1, 'kernel': 'rbf'}",-0.04735675437349877,-0.04976907132173697,-0.05063734644974418,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299996,28
Output_1,12,0.0031241893768310545,0.006248378753662109,0.0,0.0,0.1,20,0.01,rbf,"{'C': 0.1, 'epsilon': 20, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349871,-0.049769071321736955,-0.050637346449744165,-0.04799597629067275,-0.04314973717562626,-0.04778177712225577,0.0025994589478299966,19
Output_1,13,0.0,0.0,0.0,0.0,0.1,20,0.1,rbf,"{'C': 0.1, 'epsilon': 20, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04735675437349871,-0.049769071321736955,-0.050637346449744165,-0.04799597629067275,-0.04314973717562626,-0.04778177712225577,0.0025994589478299966,19
Output_1,14,0.0,0.0,0.0,0.0,0.1,20,1,rbf,"{'C': 0.1, 'epsilon': 20, 'gamma': 1, 'kernel': 'rbf'}",-0.04735675437349871,-0.049769071321736955,-0.050637346449744165,-0.04799597629067275,-0.04314973717562626,-0.04778177712225577,0.0025994589478299966,19
Output_1,15,0.10355134010314941,0.008028166035500746,0.05624265670776367,0.007644480321227259,1,0.01,0.01,rbf,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.03826931040505695,-0.040738399558313425,-0.04338011921522709,-0.04104642039552408,-0.03663417704142003,-0.04001368532310831,0.0023404507977412762,13
Output_1,16,0.10631756782531739,0.011667387342255647,0.04960346221923828,0.006609832037726444,1,0.01,0.1,rbf,"{'C': 1, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.009040206857319908,-0.009906623043906574,-0.010768687359288931,-0.010211715739091562,-0.008763295248107301,-0.009738105649542856,0.0007419058339872804,7
Output_1,17,0.10126738548278809,0.00539512313727911,0.03124370574951172,2.2404040505262916e-05,1,0.01,1,rbf,"{'C': 1, 'epsilon': 0.01, 'gamma': 1, 'kernel': 'rbf'}",-0.0016311341284356844,-0.0017165160268662783,-0.0016725895335101674,-0.0015238552963807673,-0.0015577910257117131,-0.0016203772021809218,7.115900561628985e-05,2
