,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_0,46,5.718840551376343,0.6030187873682105,0.06480584144592286,0.011374534133373458,60,0.0001,8,rbf,"{'C': 60, 'epsilon': 0.0001, 'gamma': 8, 'kernel': 'rbf'}",-5.2013581582935546e-08,-4.6541961807672377e-08,-6.807246930517567e-08,-5.185994598825996e-08,-5.4944309571026575e-08,-5.468645365101403e-08,7.221053147777357e-09,30
Output_0,47,5.799512958526611,0.23329931287383882,0.052216291427612305,0.00751471613191653,60,0.0001,10,rbf,"{'C': 60, 'epsilon': 0.0001, 'gamma': 10, 'kernel': 'rbf'}",-6.056751137061085e-08,-5.1638793895444685e-08,-6.902242021970005e-08,-5.687002079981112e-08,-5.6892964506596026e-08,-5.899834215843254e-08,5.763154526689308e-09,39
Output_0,48,7.541875410079956,0.5096942609718554,0.08093109130859374,0.02892175261832809,70,1e-05,4,rbf,"{'C': 70, 'epsilon': 1e-05, 'gamma': 4, 'kernel': 'rbf'}",-5.823590374707934e-08,-3.3322375354739955e-08,-4.373688964476926e-08,-4.429702097243934e-08,-2.533864230323707e-08,-4.098616640445299e-08,1.1132478416386574e-08,2
Output_0,49,11.406691837310792,1.3486142886173624,0.10108089447021484,0.014491901831851794,70,1e-05,6,rbf,"{'C': 70, 'epsilon': 1e-05, 'gamma': 6, 'kernel': 'rbf'}",-4.600204968718222e-08,-3.851106548489312e-08,-4.1469261709797655e-08,-3.855740412480458e-08,-3.863029714870923e-08,-4.0634015631077364e-08,2.9102421228231538e-09,1
Output_0,50,11.30625295639038,1.4670150582655261,0.10472102165222168,0.026604607129146488,70,1e-05,8,rbf,"{'C': 70, 'epsilon': 1e-05, 'gamma': 8, 'kernel': 'rbf'}",-4.60843222601206e-08,-4.2571635070740187e-08,-4.815155839860714e-08,-3.5414323635275725e-08,-4.687813507437486e-08,-4.38199948878237e-08,4.5925059332852894e-09,4
Output_0,51,10.936968994140624,0.4747097622943675,0.09526576995849609,0.034991618896943785,70,1e-05,10,rbf,"{'C': 70, 'epsilon': 1e-05, 'gamma': 10, 'kernel': 'rbf'}",-4.4414094473659805e-08,-4.167524171429642e-08,-4.72819137729486e-08,-2.937870725107136e-08,-4.688245816171124e-08,-4.192648307473749e-08,6.586961937650334e-09,3
Output_0,52,7.430493354797363,0.817318881779649,0.07647404670715333,0.020174481936749106,70,3e-05,4,rbf,"{'C': 70, 'epsilon': 3e-05, 'gamma': 4, 'kernel': 'rbf'}",-5.457426944379999e-08,-4.645469534549253e-08,-4.29252923174165e-08,-5.0197045569810896e-08,-3.3797457142795724e-08,-4.5589751963863126e-08,7.054847951963788e-09,7
Output_0,53,10.239389753341674,0.8002898725596339,0.09496550559997559,0.014734586367674635,70,3e-05,6,rbf,"{'C': 70, 'epsilon': 3e-05, 'gamma': 6, 'kernel': 'rbf'}",-4.8794090807218053e-08,-4.732516106286931e-08,-4.596210299457561e-08,-3.859996570597956e-08,-4.29977972520748e-08,-4.473582356454346e-08,3.6151749627661385e-09,5
Output_0,54,9.900215768814087,1.695951282971872,0.09785227775573731,0.020990401480621996,70,3e-05,8,rbf,"{'C': 70, 'epsilon': 3e-05, 'gamma': 8, 'kernel': 'rbf'}",-5.040079330058113e-08,-4.961566478078008e-08,-4.307255746399813e-08,-3.785529014389508e-08,-5.1167148077591995e-08,-4.6422290753369285e-08,5.1605039245599955e-09,9
Output_0,55,10.224077415466308,2.3200399895291883,0.07855305671691895,0.013688216001335933,70,3e-05,10,rbf,"{'C': 70, 'epsilon': 3e-05, 'gamma': 10, 'kernel': 'rbf'}",-7.715123101515055e-08,-5.3368354914451144e-08,-5.071332698152241e-08,-4.171848190653823e-08,-3.5608188959468356e-08,-5.1711916755426135e-08,1.4213363204544573e-08,20
Output_0,56,7.045657396316528,0.7796565516962837,0.10186338424682617,0.03999281136768513,70,5e-05,4,rbf,"{'C': 70, 'epsilon': 5e-05, 'gamma': 4, 'kernel': 'rbf'}",-6.309353307799855e-08,-5.640533154726293e-08,-4.4572570730716246e-08,-4.5452651787334265e-08,-4.509655893551374e-08,-5.0924129215765144e-08,7.515023688200228e-09,18
Output_0,57,8.789826202392579,1.2109669111114938,0.0864896297454834,0.007491545495261427,70,5e-05,6,rbf,"{'C': 70, 'epsilon': 5e-05, 'gamma': 6, 'kernel': 'rbf'}",-5.169159484109244e-08,-4.8636957898891994e-08,-5.950889264483081e-08,-4.390920248439937e-08,-3.8995066662329036e-08,-4.854834290630873e-08,6.968618898476636e-09,12
Output_0,58,9.852699851989746,1.3103626164777806,0.09241232872009278,0.024194331542709602,70,5e-05,8,rbf,"{'C': 70, 'epsilon': 5e-05, 'gamma': 8, 'kernel': 'rbf'}",-6.805889598138198e-08,-3.787337371749618e-08,-5.343548530316504e-08,-4.587386914047094e-08,-4.8674641257795906e-08,-5.078325308006201e-08,1.000695211399067e-08,17
Output_0,59,11.256610870361328,1.6602500266750229,0.10270395278930664,0.024331332366542398,70,5e-05,10,rbf,"{'C': 70, 'epsilon': 5e-05, 'gamma': 10, 'kernel': 'rbf'}",-5.705227917345262e-08,-5.031598254318623e-08,-5.9314236479074007e-08,-4.2017554546234894e-08,-4.675577804139272e-08,-5.109116615666809e-08,6.40126052161261e-09,19
Output_0,60,7.718795490264893,0.734292535954595,0.09493608474731445,0.020607789523163403,70,0.0001,4,rbf,"{'C': 70, 'epsilon': 0.0001, 'gamma': 4, 'kernel': 'rbf'}",-8.400433151835821e-08,-6.975008140995557e-08,-6.115805025252688e-08,-7.131880350174838e-08,-5.926217938321714e-08,-6.909868921316123e-08,8.801614221455541e-09,55
Output_0,61,6.592377042770385,1.0614664909124913,0.06545615196228027,0.015694466916871055,70,0.0001,6,rbf,"{'C': 70, 'epsilon': 0.0001, 'gamma': 6, 'kernel': 'rbf'}",-5.487510898733616e-08,-6.226762739434894e-08,-6.751907280649944e-08,-5.4998290786747594e-08,-5.6743725737057554e-08,-5.928076514239793e-08,4.918882413479911e-09,42
Output_0,62,5.6474621295928955,0.6233416777556937,0.054131174087524415,0.008393920402517878,70,0.0001,8,rbf,"{'C': 70, 'epsilon': 0.0001, 'gamma': 8, 'kernel': 'rbf'}",-4.655817450016999e-08,-4.4739956455927026e-08,-7.849243498824876e-08,-4.631746682873899e-08,-6.182280252897919e-08,-5.5586167060412794e-08,1.302801957688793e-08,31
Output_0,63,6.31448016166687,1.0290850252430341,0.057094907760620116,0.013394676848861824,70,0.0001,10,rbf,"{'C': 70, 'epsilon': 0.0001, 'gamma': 10, 'kernel': 'rbf'}",-8.900831291576556e-08,-5.637974913868898e-08,-7.072469741130346e-08,-4.83439654631722e-08,-5.361775113484926e-08,-6.361489521275589e-08,1.4702832882041653e-08,49
Output_1,0,1.458563995361328,0.319887509906748,0.08104958534240722,0.03440833753540248,40,1e-05,4,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 4, 'kernel': 'rbf'}",-3.610220165434556e-08,-4.458939903638056e-08,-3.894688456644734e-08,-3.060927301908518e-08,-4.353297876700247e-08,-3.875614740865222e-08,5.104827390383795e-09,29
Output_1,1,1.790929126739502,0.3296987615761333,0.07085022926330567,0.019916092188415526,40,1e-05,6,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 6, 'kernel': 'rbf'}",-3.784504198522921e-08,-3.1307105439510964e-08,-3.7262431550108434e-08,-2.884213304481893e-08,-4.342986177686759e-08,-3.573731475930702e-08,5.1597298455418525e-09,19
Output_1,2,1.6976788997650147,0.37166449814378155,0.07702536582946777,0.02750174623522845,40,1e-05,8,rbf,"{'C': 40, 'epsilon': 1e-05, 'gamma': 8, 'kernel': 'rbf'}",-3.1786749252456636e-08,-2.9718962965153552e-08,-3.5743304421650753e-08,-3.1110055203234954e-08,-3.1057037018873224e-08,-3.188322177227382e-08,2.0432292569131495e-09,1
